case_rank,scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
3,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,XGBoost,ML,Raw+Meta,27,prefix,-,70.0,0.0465590505213182,0.8860794572212712,0.0338301789760589,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
4,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,XGBoost,ML,Raw+Meta,27,prefix,-,100.0,0.0488631882578537,0.8745249386857569,0.0372648417949676,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
5,S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,XGBoost,ML,Raw,24,prefix,-,70.0,0.0509256862216333,0.8637088692191457,0.038409588932991,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,5,feature_gru,DL,Delta+Meta,27,prefix,-,30.0,0.0256615963804082,0.9888449907302856,0.0218521263450384,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,5,feature_gru,DL,Delta+Meta,27,prefix,-,20.0,0.0282058736457029,0.9865233302116394,0.0198373645544052,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,5,feature_gru,DL,Raw+Delta+Meta,51,prefix_with_case6,-,30.0,0.0306527273220458,0.9840837717056274,0.0249473974108696,6,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
4,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,5,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,20.0,0.0336751570424163,0.9807902574539183,0.0279484931379556,6,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
5,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,5,SVR,ML,Delta+Meta,27,prefix,-,90.0,0.0360844085413367,0.977943231963104,0.0325698282114021,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
1,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,6,XGBoost,ML,Raw+Delta+Meta,51,prefix_with_case6,-,100.0,0.0061564529314637,,0.0061564529314637,1,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
2,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,6,Ridge,ML,Raw+Delta+Meta,51,prefix_with_case6,-,60.0,0.0062749835459932,,0.0062749835459932,1,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
3,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,6,Ridge,ML,Raw+Delta+Meta,51,prefix_with_case6,-,30.0,0.0081944100910276,,0.0081944100910276,1,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
4,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,6,XGBoost,ML,Raw+Delta+Meta,51,prefix_with_case6,-,60.0,0.0105709871277213,,0.0105709871277213,1,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
5,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,6,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,100.0,0.010775,,0.010775,1,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,7,feature_gru,DL,Delta+Meta,27,prefix,-,20.0,0.0278175351806801,0.9627168774604796,0.0234152469784021,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,7,XGBoost,ML,Delta,24,prefix,-,70.0,0.0367922063931115,0.9347790992011874,0.0310401548125914,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,7,XGBoost,ML,Delta+Meta,27,prefix,-,80.0,0.0369602726032775,0.934181882207944,0.0284681369577135,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,7,SVR,ML,Raw+Delta+Meta,51,prefix_with_case6,-,40.0,0.0372228631367855,0.93324332795979,0.0350929215011422,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
5,S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,7,SVR,ML,Raw+Delta,48,prefix,-,40.0,0.0376600580943815,0.9316659598742012,0.0361856973756954,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,8,RandomForest,ML,Delta+Meta,27,prefix,-,10.0,0.0519621186416302,0.929343444170846,0.0471506944444445,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,8,RandomForest,ML,Delta,24,prefix,-,10.0,0.0599062069160754,0.906087714927252,0.0555812332483907,6,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,8,XGBoost,ML,Delta+Meta,27,prefix,-,10.0,0.0629342096449857,0.8963540519219275,0.0513568817513684,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,8,Ridge,ML,Raw+Delta,48,prefix,-,50.0,0.0655043163007759,0.8877158127897393,0.0576602562087799,6,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
5,S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,8,Ridge,ML,Delta,24,prefix,-,80.0,0.0660288775107409,0.8859102595392722,0.0580110868925721,6,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,9,MLP,ML,Delta+Meta,27,prefix,-,100.0,0.0625624507023235,0.9381556493312394,0.0538757291788887,9,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,9,feature_gru,DL,Delta+Meta,27,prefix,-,20.0,0.066900628918812,0.9292815327644348,0.0509182438254356,9,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,9,XGBoost,ML,Delta+Meta,27,prefix,-,100.0,0.0673808947722594,0.928262526645378,0.0609344501462247,9,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,9,XGBoost,ML,Delta,24,prefix,-,100.0,0.07151286742656,0.9191945016360276,0.0637356302390495,9,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
5,S3,T1,S3_T1,2026-06-08_201520_H4_S3_T1_entry_steady_exit,9,XGBoost,ML,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100.0,0.0728345996556765,0.9161799330003088,0.0601126053267055,9,0,experiments/executions/H4/S3/T1/2026-06-08_201520_H4_S3_T1_entry_steady_exit/metrics/H4_S3_T1_locv_per_case.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,10,feature_gru,DL,Delta+Meta,27,prefix,-,80.0,0.0471516778507193,0.9546602368354796,0.0417804196476936,10,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,10,feature_gru,DL,Delta+Meta,27,prefix,-,50.0,0.0499874413073866,0.9490426778793336,0.0403066799044609,10,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,10,feature_gru,DL,Delta+Meta,27,prefix,-,40.0,0.0509252295239252,0.9471127390861512,0.0418538525700569,10,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,10,feature_gru,DL,Delta+Meta,27,prefix,-,90.0,0.0511023976141548,0.94674414396286,0.0444833301007747,10,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
5,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,10,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,30.0,0.0521689987009536,0.94449782371521,0.0443817861378192,10,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,11,feature_gru,DL,Delta+Meta,27,prefix,-,60.0,0.0310685442128639,0.9794309139251708,0.0246720369905233,23,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,11,feature_gru,DL,Delta+Meta,27,prefix,-,80.0,0.0312797192727544,0.9791503548622132,0.0263897068798542,23,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,11,feature_gru,DL,Delta+Meta,27,prefix,-,70.0,0.0363398737393185,0.9718589782714844,0.0287233460694551,23,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,11,feature_gru,DL,Delta+Meta,27,prefix,-,40.0,0.0426564858787253,0.9612257480621338,0.0381040684878826,23,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
5,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,11,feature_gru,DL,Raw+Delta+Meta,51,prefix_with_case6,-,80.0,0.0431581678723974,0.960308313369751,0.0363551676273345,23,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
1,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,12,SVR,ML,Raw+Meta,27,prefix,-,70.0,0.046852776185107,0.9369320595263424,0.0399313447544216,14,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
2,S1,T3,S1_T3,2026-06-08_165151_H4_S1_T3_locv_target_restricted,12,SVR,ML,Raw+Delta+Meta,51,prefix_target_restricted,-,70.0,0.046852776185107,0.9369320595263424,0.0399313447544216,14,0,experiments/executions/H4/S1/T3/2026-06-08_165151_H4_S1_T3_locv_target_restricted/metrics/H4_S1_T3_shift_metrics.csv
3,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,12,SVR,ML,Raw+Meta,27,prefix,-,40.0,0.0505244739279691,0.9266598843058862,0.0407385314956683,14,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
