sensor,n_runs,has_exit_runs,has_exit_rate,mean_exit_frac,median_exit_frac,mean_shift_vs_smcDC,median_shift_vs_smcDC,mean_confidence
smcDC,166,119,0.7168674698795181,0.8541471720214191,0.8053333333333333,-437.6807228915663,-142.0,36.78256454458903
smcAC,166,109,0.6566265060240963,0.8917648092369477,0.9004444444444444,-98.40361445783132,0.0,1.1375361624835296
vib_table,166,141,0.8493975903614458,0.8626478413654619,0.9004444444444444,-365.00602409638554,-22.0,5.282779928437826
vib_spindle,166,163,0.9819277108433735,0.8338586010709503,0.8453333333333333,-615.6084337349398,-656.0,16.898664352606534
AE_table,166,164,0.9879518072289156,0.8341867469879519,0.8382222222222222,-618.1626506024096,-691.0,12.711611914803012
AE_spindle,166,165,0.9939759036144579,0.8431232429718876,0.8568888888888889,-529.6325301204819,-648.0,10.032212965036482
