sensor,n_runs,has_exit_runs,has_exit_rate,mean_exit_frac,median_exit_frac,mean_shift_vs_smcDC,median_shift_vs_smcDC,mean_confidence
smcDC,166,85,0.5120481927710844,0.8931726070950469,0.9342222222222223,-86.45180722891567,0.0,8.418776573435004
smcAC,166,9,0.05421686746987952,0.9904417670682732,1.0,798.0301204819277,0.0,0.7355713506635846
vib_table,166,77,0.463855421686747,0.9341311914323963,1.0,291.23493975903614,0.0,1.8240671245934146
vib_spindle,166,122,0.7349397590361446,0.8810821619812582,0.9102222222222223,-190.59638554216866,0.0,3.6845636711864724
AE_table,166,141,0.8493975903614458,0.8626579651941099,0.8924444444444445,-361.921686746988,-102.0,4.484111751959454
AE_spindle,166,145,0.8734939759036144,0.8642730923694779,0.8764444444444445,-337.4879518072289,-78.0,3.6855842666337746
