rank,model,mean,std,n_seed,ref_with_case1,delta_vs_with_case1
1,FeatLSTM,0.08046489156133133,0.0026753503668849065,5,0.117919,-0.03745410843866867
2,FeatGRU,0.08312576793145539,0.0009418213620079221,5,0.114839,-0.03171323206854461
3,CarryForward,0.10038226571223914,0.0,1,0.096361,0.004021265712239139
4,XGBoost,0.11940261253730837,0.0,1,0.113095,0.006307612537308369
5,SVR,0.12433609160433008,0.0,1,0.118862,0.005474091604330086
6,RandomForest,0.13986601099922286,0.0012903086698449878,5,0.135995,0.0038710109992228514
7,Ridge,0.16132030552616353,0.0,1,0.147571,0.013749305526163519
8,FeatureMLP,0.1732809559318132,0.02298892555868634,5,0.128668,0.04461295593181319
