rank,task,scenario,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae
54,S1_T1,S1,feature_gru,DL,Raw+Meta,27,prefix,-,60,0.133446,0.451618,0.11068
55,H6S3_T7,H6_S3,feature_gru,DL,Delta_ts+Meta,15,segment,Steady,100,0.133556,0.069438,0.10703
56,S1_T1,S1,feature_gru,DL,Raw+Meta,27,prefix,-,100,0.134222,0.472641,0.111669
57,S1_T4,S1,Ridge,ML,Delta+Meta,27,prefix,-,80,0.135169,0.543482,0.111588
58,S3_T3,S3,SVR,ML,Raw+Delta+Meta,51,segment,Steady,100,0.135921,0.507176,0.110676
59,S1_T7,S1,Ridge,ML,Delta,24,prefix,-,100,0.136877,0.491055,0.113028
60,S3_T3,S3,feature_gru,DL,Raw+Delta+Meta,51,segment,Steady,100,0.138264,0.429738,0.116972
61,S1_T8,S1,Ridge,ML,Raw+Delta,48,prefix,-,90,0.14193,0.449136,0.120169
62,S1_T8,S1,Ridge,ML,Raw+Delta,48,prefix,-,100,0.143276,0.389096,0.121496
63,S1_T4,S1,Ridge,ML,Delta+Meta,27,prefix,-,100,0.14528,0.402082,0.123793
64,S1_T2,S1,Ridge,ML,Raw+Delta+Meta,51,prefix,-,100,0.147054,0.236555,0.128423
65,S1_T1,S1,XGBoost,ML,Raw+Meta,27,prefix,-,50,0.147852,0.43597,0.117732
66,S1_T6,S1,XGBoost,ML,Raw,24,prefix,-,50,0.15139,0.421723,0.120495
67,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,40,0.152209,0.416416,0.12755
68,S3_T2,S3,Ridge,ML,Raw+Delta+Meta,51,segment,Entry+Steady,100,0.152545,0.322638,0.129029
69,S1_T6,S1,RandomForest,ML,Raw,24,prefix,-,50,0.153195,0.409188,0.1221
70,S1_T1,S1,RandomForest,ML,Raw+Meta,27,prefix,-,50,0.153309,0.403283,0.122441
71,S1_T6,S1,Ridge,ML,Raw,24,prefix,-,100,0.15716,0.355833,0.129333
72,S1_T6,S1,SVR,ML,Raw,24,prefix,-,100,0.157918,0.348147,0.122891
73,S1_T1,S1,XGBoost,ML,Raw+Meta,27,prefix,-,100,0.158585,0.400035,0.123286
74,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,100,0.161048,0.055048,0.14105
75,S3_T1,S3,Ridge,ML,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100,0.161048,0.055048,0.14105
76,S1_T7,S1,feature_gru,DL,Delta,24,prefix,-,100,0.161447,0.270681,0.136352
77,S1_T6,S1,feature_gru,DL,Raw,24,prefix,-,90,0.16261,0.189431,0.130616
78,S1_T1,S1,RandomForest,ML,Raw+Meta,27,prefix,-,100,0.164717,0.369595,0.132205
79,S1_T8,S1,MLP,DL,Raw+Delta,48,prefix,-,70,0.165626,0.207882,0.135304
80,S1_T6,S1,feature_gru,DL,Raw,24,prefix,-,100,0.166499,0.178688,0.137225
81,S1_T6,S1,RandomForest,ML,Raw,24,prefix,-,100,0.167016,0.351457,0.134261
82,S1_T6,S1,XGBoost,ML,Raw,24,prefix,-,100,0.168108,0.326133,0.132348
83,S1_T2,S1,MLP,DL,Raw+Delta+Meta,51,prefix,-,40,0.182129,-0.093184,0.148346
84,S1_T1,S1,MLP,DL,Raw+Meta,27,prefix,-,90,0.182705,-0.254883,0.14945
85,S1_T8,S1,MLP,DL,Raw+Delta,48,prefix,-,100,0.182926,0.109209,0.149817
86,S1_T1,S1,MLP,DL,Raw+Meta,27,prefix,-,100,0.184271,-0.309034,0.148267
87,S3_T3,S3,Ridge,ML,Raw+Delta+Meta,51,segment,Steady,100,0.187218,-0.27426,0.164453
88,S1_T6,S1,MLP,DL,Raw,24,prefix,-,100,0.188218,0.09225,0.157026
89,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,30,0.18981,-0.044598,0.14971
90,S1_T7,S1,MLP,DL,Delta,24,prefix,-,40,0.190393,-0.256917,0.153833
91,S1_T2,S1,MLP,DL,Raw+Delta+Meta,51,prefix,-,100,0.194543,-0.173133,0.158935
92,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462
93,S3_T1,S3,MLP,DL,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462
94,S1_T7,S1,MLP,DL,Delta,24,prefix,-,100,0.19677,-0.281281,0.161652
95,S1_T4,S1,MLP,DL,Delta+Meta,27,prefix,-,40,0.20275,-0.191335,0.168018
96,S1_T4,S1,MLP,DL,Delta+Meta,27,prefix,-,100,0.212877,-0.455619,0.167554
97,S3_T2,S3,MLP,DL,Raw+Delta+Meta,51,segment,Entry+Steady,100,0.217288,-0.358926,0.180743
98,S3_T3,S3,MLP,DL,Raw+Delta+Meta,51,segment,Steady,100,0.288073,-2.185054,0.219654
