sensor,n_runs,has_exit_runs,has_exit_rate,mean_exit_frac,median_exit_frac,mean_shift_vs_smcDC,median_shift_vs_smcDC,mean_confidence
smcDC,166,127,0.7650602409638554,0.8436518574297189,0.8177777777777777,-532.1385542168674,-206.5,8.84662133775364
smcAC,166,165,0.9939759036144579,0.803111529451138,0.8035555555555556,-896.2831325301205,-597.0,2.211362413907231
vib_table,166,165,0.9939759036144579,0.8165158969210173,0.8364444444444445,-782.5481927710844,-664.0,12.85104634274311
vib_spindle,166,165,0.9939759036144579,0.8160594042838019,0.8328888888888889,-775.8012048192771,-854.0,53.77030047399197
AE_table,166,165,0.9939759036144579,0.8063255522088355,0.8151111111111111,-873.343373493976,-902.0,28.39638872156823
AE_spindle,166,165,0.9939759036144579,0.8316092704149933,0.8417777777777777,-646.5481927710844,-656.0,21.461876637799982
